Sales Rep. Y3$Ch.$Mchd.$aktivní návštěva a/n$Customer No.$$City (M)$StrHousNo. (M)$kontaktní osoba jméno$kontaktní osoba tel.$kontaktní osoba e-mail$letáky a/n$GPS
53591093$TT$KAM TT CZ2 SL$$53507973$Stavebniny DEK a.s.$HRADEC KRÁLOVÉ 3$VÁŽNÍ 1052$$$$$50.2305082, 15.8493331
53591066$TT$KAM TT CZ1 LU$$53507992$PRO-DOMA, spol. s r.$JESENICE - OSNICE$HLAVNÍ 1$$$$$49.9722351, 14.5523028
53591066$TT$KAM TT CZ1 LU$$53507994$PRO-DOMA, spol. s r.$SEDLČANY$HAVLÍČKOVA 906$$$$$49.6591781, 14.4216239
53591093$TT$KAM TT CZ2 SL$$53507999$Stavebniny DEK a.s.$STARÉ HRADIŠTĚ$FÁBLOVA 404$$$$$50.0628391, 15.7722461
53591066$TT$KAM TT CZ1 LU$$53508007$Keller & Kalmbach s.$PRAHA 9 - ČAKOVICE$ODERSKÁ 333/5$$$$$50.1499403, 14.5318050
53591066$TT$KAM TT CZ1 LU$$53508010$GIENGER BOHEMIA, s.r$OTOVICE$MOSTECKÁ 157$$$$$50.2536115, 12.8817480
53590550$TT$KAM TT CZ2 SL$$53508013$Gienger, spol s r.o.$TÁBOR$VOŽICKÁ 2604$$$$$49.4149738, 14.6924100
53590205$TT$KAM TT CZ2 SL$$53508014$STAVMAT STAVEBNINY a$BENEŠOV$JANA NOHY 1285$$$$$49.7792971, 14.6794197
53591071$TT$KAM TT CZ3 HO$$53508016$STAVMAT STAVEBNINY a$BOHUMÍN - NOVÝ BOHUMÍN$9. KVĚTNA 1204$$$$$49.8998576, 18.3546092
53591071$TT$KAM TT CZ3 HO$$53508018$STAVMAT STAVEBNINY a$BŘECLAV$BRATISLAVSKÁ 3417$$$$$48.7494055, 16.9032133
53591066$TT$KAM TT CZ1 LU$$53508021$STAVMAT STAVEBNINY a$PRAHA 6 - ŘEPY$KARLOVARSKÁ 660$$$$$50.0760674, 14.3217074
53591071$TT$KAM TT CZ3 HO$$53508023$STAVMAT STAVEBNINY a$HRANICE IV$MLÝNSKÁ 3$$$$$49.5504293, 17.7190082
53591071$TT$KAM TT CZ3 HO$$53508024$STAVMAT STAVEBNINY a$HULÍN$ZÁHLINICKÁ 929$$$$$49.3094042, 17.4767131
53591066$TT$KAM TT CZ1 LU$$53508025$STAVMAT STAVEBNINY a$CHOMUTOV$SPOŘICKÁ UL. 3819$$$$$50.4583244, 13.4094804
53590205$TT$KAM TT CZ2 SL$$53508026$STAVMAT STAVEBNINY a$CHRUDIM$U VÁPENKY 145$$$$$49.9460946, 15.7876072
53591093$TT$KAM TT CZ2 SL$$53508028$STAVMAT STAVEBNINY a$JIHLAVA$U HLAVNÍHO NÁDRAŽÍ 4757$$$$$49.4198516, 15.5958545
53591093$TT$KAM TT CZ2 SL$$53508029$STAVMAT STAVEBNINY a$JINDŘICHŮV HRADEC$DOLNÍ SKRÝCHOV 211$$$$$49.1581046, 15.0194607
53590205$TT$KAM TT CZ2 SL$$53508032$STAVMAT STAVEBNINY a$KUTNÁ HORA$ČÁSLAVSKÁ 126$$$$$49.9476201, 15.2853744
53591066$TT$KAM TT CZ1 LU$$53508036$STAVMAT STAVEBNINY a$LITOMĚŘICE$KAMÝCKÁ 2147$$$$$50.5397694, 14.1189163
